 Utilities 2013 - leave behind feature,3.00,3.00,3.00,3.00,3.00,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,200000
 PCFF (new on FFU2013) - incl. leave behind,0.50,0.50,0.50,0.50,0.50,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RHA Utilities 2014 - new major release,6.00,6.00,6.00,6.00,6.00,6.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,2.00,0,0,0,0,0,0,
Localization (FFU2014),0,0,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,
 PCFF (on FFU2014) - new major release,0,0,0,0,0,0,1.00,1.00,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,0,0,0,0,0,0,0,
 PCFF (on FFU2014) - Freemium version,0,0,0,0,0,0,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0,0,0,0,0,0,0,
RHA Utilities 2012 - CoBi covermount version,0.50,0.50,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RHA Free Scan 2 - new major version,0,0,0,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,
 PCFF (on FFU2014) -  Zen enabled,0,0,0,0,0,0,0,0,0,0,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0,0,0,0,0,
RHA IncrediLock - updates,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
RHA Utilities 2014 - maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,3.00,3.00,3.00,3.00,3.00,2.00,
 PCFF (on FFU2014) - maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,
RHA Utilities 2015 - new major release,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,3.00,4.00,5.00,5.00,5.00,5.00